CAINC30 Economic profile
CAINC30 Economic profile
County
GeoFips,GeoName,LineCode,Description,2021
37000,North Carolina,,Place of residence profile,
37000,North Carolina,10,Personal income (thousands of dollars),592695039
37000,North Carolina,100,"  Population (persons) 3/",10551162
37000,North Carolina,,Place of work profile (thousands of dollars),
37000,North Carolina,180,"  Earnings by place of work",399284734
37000,North Carolina,190,"    Wages and salaries",292859423
37000,North Carolina,240,Total employment (number of jobs),6275500
37001,"Alamance, NC",,Place of residence profile,
37001,"Alamance, NC",10,Personal income (thousands of dollars),8366592
37001,"Alamance, NC",100,"  Population (persons) 3/",173877
37001,"Alamance, NC",,Place of work profile (thousands of dollars),
37001,"Alamance, NC",180,"  Earnings by place of work",4616368
37001,"Alamance, NC",190,"    Wages and salaries",3453884
37001,"Alamance, NC",240,Total employment (number of jobs),87667
37003,"Alexander, NC",,Place of residence profile,
37003,"Alexander, NC",10,Personal income (thousands of dollars),1704413
37003,"Alexander, NC",100,"  Population (persons) 3/",36644
37003,"Alexander, NC",,Place of work profile (thousands of dollars),
37003,"Alexander, NC",180,"  Earnings by place of work",649797
37003,"Alexander, NC",190,"    Wages and salaries",409400
37003,"Alexander, NC",240,Total employment (number of jobs),14239
37005,"Alleghany, NC",,Place of residence profile,
37005,"Alleghany, NC",10,Personal income (thousands of dollars),499485
37005,"Alleghany, NC",100,"  Population (persons) 3/",11049
37005,"Alleghany, NC",,Place of work profile (thousands of dollars),
37005,"Alleghany, NC",180,"  Earnings by place of work",198497
37005,"Alleghany, NC",190,"    Wages and salaries",131132
37005,"Alleghany, NC",240,Total employment (number of jobs),5909
37007,"Anson, NC",,Place of residence profile,
37007,"Anson, NC",10,Personal income (thousands of dollars),1053223
37007,"Anson, NC",100,"  Population (persons) 3/",22060
37007,"Anson, NC",,Place of work profile (thousands of dollars),
37007,"Anson, NC",180,"  Earnings by place of work",498886
37007,"Anson, NC",190,"    Wages and salaries",301282
37007,"Anson, NC",240,Total employment (number of jobs),9549
37009,"Ashe, NC",,Place of residence profile,
37009,"Ashe, NC",10,Personal income (thousands of dollars),1180718
37009,"Ashe, NC",100,"  Population (persons) 3/",26711
